pwd, It prints the path of the working directory, starting from the root 
mkdir,Allows the user to create directories.
cp,Used to copy files or group of files or directory
scp,Secure Copy 
gcc,Used to compile mainly C and C++ language.
kill,Used to terminate processes manually
chmod,Used to change the access mode of a file
chown,Used to change the file Owner or group
echo,Used to display line of text/string that are passed as an argument
find,Used to find files and directories and perform subsequent operations on them
ls,Lists all the files in current directory 
rmdir,Used to remove empty directories from the filesystem in Linux
mv,Used to move one or more files or directories 
man,Used to display the user manual of any command
make,Utility for building and maintaining groups of programs.
top,Provides a dynamic real-time view of the running system
cat,Reads data from file and gives their content as output.
df,Used to display information related to file systems about total space and available space
exit,Used to exit the shell where it is currently running
finger,It is a user information lookup command which gives details of all the users logged in.
cd,Changes directory
rm,Used to remove objects 
ssh,Protocol used to securely connect to a remote server/system
g++, Used for preprocessing, compilation, assembly and linking of source code to generate an executable file 
ps,Used to list the currently running processes
who,Shows who is logged in 
alias,Instructs the shell to replace one string with another string while executing the commands
grep,Searches a file for a particular pattern of characters, and displays all lines that contain that pattern
clear,Used to clear the terminal screen
free,Displays the total amount of free space available along with the amount of memory used and swap memory in the system, and also the buffers used by the kernel